"Family","variable","ES_formatted","interpretation","Sig_FDR","p_val","p_fdr"
"Beliefs_COMB","capabilityC","d = +1.00 [0.78, 1.22]","Large","***",5.22821661953354e-17,4.18257329562683e-16
"Psychological_Individual_Differences","DBAS_Medications","d = -0.85 [-1.07, -0.62]","Large","***",1.12254309637479e-09,1.79606895419966e-08
"Beliefs_COMB","dependenceC","d = -0.53 [-0.75, -0.31]","Medium","***",1.18046602058856e-05,4.72186408235424e-05
"Beliefs_COMB","adlsC","d = +0.47 [0.25, 0.69]","Small","**",0.000449561692866668,0.00119883118097778
"Beliefs_COMB","side_effectsC","d = +0.38 [0.16, 0.59]","Small","**",0.00356371845801373,0.00570194953282196
"Beliefs_COMB","motivationC","d = -0.37 [-0.59, -0.16]","Small","**",0.000736942722629709,0.00147388544525942
"Clinical","c_lengthofuse","d = -0.37 [-0.59, -0.15]","Small","**",0.000342683732828623,0.00411220479394348
"Sleep_Adverse","wdl_symptom_count","d = -0.37 [-0.58, -0.15]","Small","**",0.00114108053116946,0.00342324159350837
"Clinical","med_quant","d = -0.26 [-0.48, -0.05]","Small","",0.0127816591985853,0.0766899551915119
"Psychological_Individual_Differences","DBAS_Consequences","d = -0.26 [-0.47, -0.04]","Small","",0.0354234685620545,0.138100092053159
"Psychological_Individual_Differences","BFI_Openness","d = +0.25 [0.04, 0.47]","Small","",0.0349006133568659,0.138100092053159
"Psychological_Individual_Differences","SURPS_Hopelessness","d = -0.23 [-0.45, -0.02]","Small","",0.0399872310346479,0.138100092053159
"Psychological_Individual_Differences","SURPS_Sensation_Seeking","d = +0.23 [0.01, 0.44]","Small","",0.0431562787666121,0.138100092053159
"Psychological_Individual_Differences","CISS_Emotion","d = -0.20 [-0.42, 0.01]","Small","",0.0680376314925935,0.181433683980249
"Sleep_Adverse","stop_wdl_exp_combined","V = 0.19 [0.10, 0.28]","Small","**",0.000455833409233117,0.0027350004553987
"Psychological_Individual_Differences","SURPS_Anxiety_Sensitivity","d = -0.15 [-0.37, 0.06]","Negligible","",0.189816449411227,0.433866170082804
"Clinical","n_sleep_conditions","d = -0.15 [-0.36, 0.07]","Negligible","",0.195897330064473,0.529256305309118
"Sleep_Adverse","melatonin_use","V = 0.15 [0.06, 0.24]","Small","",0.0546407938369545,0.109281587673909
"Beliefs_COMB","benefitsC","d = -0.15 [-0.36, 0.07]","Negligible","",0.219126658178397,0.292168877571197
"Clinical","phq2_score","d = -0.14 [-0.35, 0.08]","Negligible","",0.220523460545466,0.529256305309118
"Clinical","alc_use","V = 0.14 [0.04, 0.23]","Small","",0.0915518793988892,0.366207517595557
"Psychological_Individual_Differences","BFI_Extraversion","d = +0.13 [-0.08, 0.34]","Negligible","",0.254084460094448,0.503891435853161
