"Variable","Mean_Importance","Thres_Count","Interp_Count","Pred_Count","Majority_Thres","Majority_Interp","Majority_Pred"
"BFI_Extraversion",0.0514541432175335,1,0,0,FALSE,FALSE,FALSE
"BFI_Agreeableness",0.00825384037380458,3,0,0,FALSE,FALSE,FALSE
"BFI_Conscientiousness",0.00700733106255616,22,7,2,TRUE,TRUE,FALSE
"BFI_Neuroticism",0.00524262590864369,24,7,0,TRUE,TRUE,FALSE
"BFI_Openness",0.00443493071242608,22,5,0,TRUE,FALSE,FALSE
"SURPS_Impulsivity",0.00342006512753878,24,1,0,TRUE,FALSE,FALSE
"SURPS_Sensation_Seeking",0.00297373101190241,24,6,0,TRUE,TRUE,FALSE
"SURPS_Hopelessness",0.0023498643629244,24,20,16,TRUE,TRUE,TRUE
"SURPS_Anxiety_Sensitivity",0.00205894556060215,23,1,0,TRUE,FALSE,FALSE
"DBAS_Consequences",0.00178424899613565,24,9,0,TRUE,TRUE,FALSE
"DBAS_Worry_Helplessness",0.00145346591788485,21,0,0,TRUE,FALSE,FALSE
"DBAS_Expectations",0.00107459859026152,1,0,0,FALSE,FALSE,FALSE
"DBAS_Medications",0.00034618660212639,24,24,24,TRUE,TRUE,TRUE
"CISS_Task",1.35139692000508e-05,20,1,0,TRUE,FALSE,FALSE
"CISS_Emotion",-0.000473476978402689,24,11,0,TRUE,TRUE,FALSE
"CISS_Avoidance",-0.00119761979338725,5,0,0,FALSE,FALSE,FALSE
