"","stopped_bzra","DBAS_Medications","SURPS_Hopelessness","CISS_Emotion","DBAS_Consequences","BFI_Conscientiousness","BFI_Neuroticism","SURPS_Sensation_Seeking","capabilityC","side_effectsC","c_lengthofuse","bzra_daily_diazepam_eq","dependenceC","n_sleep_conditions","wdl_symptom_count","stop_wdl_exp_combined","adlsC","DBAS_Worry_Helplessness","DBAS_Expectations","DBAS_Total","CISS_Task","CISS_Avoidance","BFI_Extraversion","BFI_Agreeableness","BFI_Openness","SURPS_Impulsivity","SURPS_Anxiety_Sensitivity","benefitsC","motivationC","gen_health","osss_3_score","phq2_score","med_quant"
"stopped_bzra","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DBAS_Medications","r","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SURPS_Hopelessness","r","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CISS_Emotion","r","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DBAS_Consequences","r","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BFI_Conscientiousness","r","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"BFI_Neuroticism","r","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,
"SURPS_Sensation_Seeking","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,
"capabilityC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,
"side_effectsC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,
"c_lengthofuse","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,
