"","stopped_bzra","DBAS_Medications","SURPS_Hopelessness","CISS_Emotion","DBAS_Consequences","BFI_Conscientiousness","BFI_Neuroticism","SURPS_Sensation_Seeking","capabilityC","side_effectsC","c_lengthofuse","bzra_daily_diazepam_eq","dependenceC","n_sleep_conditions","wdl_symptom_count","stop_wdl_exp_combined","adlsC","DBAS_Worry_Helplessness","DBAS_Expectations","DBAS_Total","CISS_Task","CISS_Avoidance","BFI_Extraversion","BFI_Agreeableness","BFI_Openness","SURPS_Impulsivity","SURPS_Anxiety_Sensitivity","benefitsC","motivationC","gen_health","osss_3_score","phq2_score","med_quant"
"stopped_bzra",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DBAS_Medications",0.418013139204545,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SURPS_Hopelessness",0.123401988636364,0.0520995987668531,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CISS_Emotion",0.116743607954545,0.121414505164532,0.407810037935998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DBAS_Consequences",0.102183948863636,0.398751656819216,0.201438950107592,0.299825908891668,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BFI_Conscientiousness",0.0485617897727273,-0.03362269264976,-0.219753047799149,-0.198312326256865,-0.0404184207439796,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BFI_Neuroticism",0.06396484375,0.0207844383914584,0.43543622379326,0.462159238577437,0.286815014591745,-0.156612481325184,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"SURPS_Sensation_Seeking",-0.158247514204545,-0.0842436878799268,-0.0768029819365073,0.0784548758817731,0.0926506813069441,-0.0369931394705838,-0.016699128848633,1,,,,,,,,,,,,,,,,,,,,,,,,,
"capabilityC",-0.5146484375,-0.353316263926025,-0.0618160489633747,-0.117478581300548,-0.25466779637075,-0.0280767699660933,-0.0762192726350546,0.102132409812909,1,,,,,,,,,,,,,,,,,,,,,,,,
"side_effectsC",-0.160822088068182,-0.090885280531511,0.229548029107423,0.243937758011367,0.252710295083625,-0.0747928612862433,0.2305635133605,0.110470024011571,-0.0717274409242329,1,,,,,,,,,,,,,,,,,,,,,,,
"c_lengthofuse",0.232510653409091,0.162646965038712,0.0171371100468197,-0.0378577563086136,0.0917863900943797,0.0541982046137219,0.0168209635570131,-0.0571587844540723,-0.193268746404293,-0.074961428785503,1,,,,,,,,,,,,,,,,,,,,,,
"bzra_daily_diazepam_eq",0.0711558948863636,0.153094638654544,0.0797790585943904,0.124813356005313,0.110709200929463,-0.00352480983427076,0.0847644770549407,-0.0284956656957511,-0.439360771301301,0.0810533368420532,0.117372607396157,1,,,,,,,,,,,,,,,,,,,,,
"dependenceC",0.251775568181818,0.319231720898915,0.0823274925142572,0.176073565006172,0.372630449677128,0.00863180820842891,0.179960162333645,-0.0194158511377867,-0.596009315392712,0.14599781496282,0.218409637994778,0.451967375830216,1,,,,,,,,,,,,,,,,,,,,
"n_sleep_conditions",0.0284978693181818,0.0783597017237399,0.037044520395183,0.0741767333056464,0.181653713379596,-0.0513389148186392,-0.00229760709505231,0.0522445491543121,-0.0932923624749842,0.0532968310998199,0.00994210634818687,0.146836406180815,0.0681953915271609,1,,,,,,,,,,,,,,,,,,,
"wdl_symptom_count",0.222434303977273,0.195090451696655,0.15725600069982,0.273344633146001,0.333302313879023,0.0314883850829726,0.182109122512915,0.0700241593674817,-0.343456870489041,0.233916187058643,0.115366573538873,0.338538400827183,0.467691908797758,0.131681406636669,1,,,,,,,,,,,,,,,,,,
"stop_wdl_exp_combined",0.176739095759544,0.0542606666750486,0.0247712940037088,0.0747993127442046,0.101644906389656,0,0.0406108268222921,0.0123610970234868,0.111212222437522,0.0545389369944285,0.00396311940711971,0.112854851441635,0.193427174016196,0.0321671626215451,0.935047161078128,1,,,,,,,,,,,,,,,,,
"adlsC",-0.179598721590909,-0.0820640427040097,0.255332861976184,0.210288719976888,0.284053425099187,-0.125120067285893,0.192592111445175,0.144749241889828,0.03223692470976,0.61961983789242,-0.0490030438722162,0.00208889782103647,0.118805123642843,0.0717864479738961,0.161682422252713,0.0226923012086958,1,,,,,,,,,,,,,,,,
"DBAS_Worry_Helplessness",0.0595703125,0.369114570953387,0.18074472104613,0.282600787041205,0.717613872950366,-0.0453678091721302,0.177316689503143,0.0681164948547717,-0.211119415343011,0.218345525802184,0.0136083488074139,0.123360683372656,0.253705893497528,0.2751683873371,0.253352786258516,0.0594222218422245,0.233520913059375,1,,,,,,,,,,,,,,,
"DBAS_Expectations",-0.0645419034090908,0.169897395328317,0.0275831688952955,0.133630475393801,0.41961423606582,-0.101462576613347,0.171279472419495,0.0358705491351537,-0.0678612692269593,0.134558972679846,-0.0878778928804709,-0.00795473789247128,0.0678907624419668,0.0411188650477444,-0.0372141806368632,0,0.150185610977039,0.33260245652879,1,,,,,,,,,,,,,,
