Case_ID,Mean_Leverage,Mean_AbsResid,Outcome,Mechanism
201,0.06224,1.4,0,High leverage / high residual (both)
103,0.04487,1.376,1,High leverage / high residual (both)
6,0.03744,1.4384,1,High leverage / high residual (both)
381,0.03351,1.5043,1,High leverage / high residual (both)
295,0.02362,2.1031,1,Low leverage / high residual (outlier)
36,0.02158,2.2429,1,Low leverage / high residual (outlier)
245,0.0211,1.9628,1,Low leverage / high residual (outlier)
334,0.02067,2.0356,1,Low leverage / high residual (outlier)
108,0.0205,2.0352,1,Low leverage / high residual (outlier)
232,0.01889,2.2059,1,Low leverage / high residual (outlier)
332,0.01756,2.1857,1,Low leverage / high residual (outlier)
374,0.01739,2.7448,1,Low leverage / high residual (outlier)
205,0.01599,2.2663,1,Low leverage / high residual (outlier)
262,0.01542,3.0411,1,Low leverage / high residual (outlier)
284,0.01475,3.5297,1,Low leverage / high residual (outlier)
61,0.01436,2.9051,1,Low leverage / high residual (outlier)
80,0.01376,2.3634,1,Low leverage / high residual (outlier)
414,0.01314,3.2587,1,Low leverage / high residual (outlier)
279,0.01298,3.2217,1,Low leverage / high residual (outlier)
20,0.00994,3.696,1,Low leverage / high residual (outlier)
333,0.00824,6.4379,1,Low leverage / high residual (outlier)
317,0.00702,3.6329,1,Low leverage / high residual (outlier)
370,0.00599,7.0896,1,Low leverage / high residual (outlier)
