Case_ID,Mean_Leverage,Mean_AbsResid,Outcome,Mechanism
350,0.60393,0.7351,0,High leverage / low residual (subgroup)
255,0.15475,1.2336,0,High leverage / high residual (both)
196,0.1112,0.9577,0,High leverage / low residual (subgroup)
390,0.10773,1.0142,0,High leverage / high residual (both)
370,0.09175,1.1411,1,High leverage / high residual (both)
236,0.07508,1.2469,1,High leverage / high residual (both)
34,0.0709,1.2667,0,High leverage / high residual (both)
201,0.07038,1.3591,0,High leverage / high residual (both)
284,0.06438,1.6887,1,High leverage / high residual (both)
262,0.06043,1.5131,1,High leverage / high residual (both)
61,0.06029,1.3449,1,High leverage / high residual (both)
334,0.05882,1.6118,1,High leverage / high residual (both)
358,0.047,2.5091,1,High leverage / high residual (both)
247,0.04674,1.5032,1,High leverage / high residual (both)
267,0.04573,2.0765,0,High leverage / high residual (both)
208,0.04293,1.6535,0,Low leverage / high residual (outlier)
307,0.04008,2.2765,1,Low leverage / high residual (outlier)
360,0.03894,1.9856,1,Low leverage / high residual (outlier)
20,0.03791,1.9245,1,Low leverage / high residual (outlier)
76,0.02429,3.0732,1,Low leverage / high residual (outlier)
91,0.02349,2.2036,1,Low leverage / high residual (outlier)
340,0.02054,2.7563,1,Low leverage / high residual (outlier)
86,0.01686,3.3009,1,Low leverage / high residual (outlier)
131,0.01603,3.1491,1,Low leverage / high residual (outlier)
223,0.01572,2.9055,1,Low leverage / high residual (outlier)
9,0.01324,4.6745,1,Low leverage / high residual (outlier)
232,0.01263,3.5365,1,Low leverage / high residual (outlier)
279,0.01034,4.1257,1,Low leverage / high residual (outlier)
337,0.00963,3.675,1,Low leverage / high residual (outlier)
245,0.00398,7.5262,1,Low leverage / high residual (outlier)
317,0.00376,8.0537,1,Low leverage / high residual (outlier)
