Case_ID,Outcome,PMPP_mean,PMPP_min,PMPP_max
201,0,0.659,0.587,0.738
103,1,0.349,0.286,0.433
6,1,0.328,0.276,0.423
381,1,0.308,0.259,0.367
334,1,0.231,0.068,0.476
245,1,0.207,0.174,0.238
332,1,0.202,0.089,0.426
108,1,0.195,0.163,0.243
295,1,0.186,0.152,0.23
232,1,0.172,0.138,0.198
36,1,0.167,0.13,0.205
205,1,0.164,0.127,0.19
80,1,0.153,0.129,0.189
374,1,0.118,0.099,0.154
61,1,0.107,0.082,0.138
262,1,0.099,0.069,0.138
279,1,0.089,0.069,0.119
414,1,0.087,0.07,0.116
284,1,0.076,0.05,0.094
317,1,0.071,0.059,0.084
20,1,0.069,0.056,0.08
333,1,0.025,0.016,0.036
370,1,0.02,0.015,0.028
