Case_ID,Outcome,PMPP_mean,PMPP_min,PMPP_max
267,0,0.809,0.73,0.854
208,0,0.732,0.698,0.766
201,0,0.647,0.581,0.703
34,0,0.614,0.522,0.679
255,0,0.593,0.443,0.768
390,0,0.505,0.425,0.604
196,0,0.476,0.361,0.566
370,1,0.436,0.357,0.523
236,1,0.395,0.312,0.477
61,1,0.358,0.302,0.463
350,0,0.349,0.255,0.498
334,1,0.335,0.089,0.739
247,1,0.318,0.197,0.48
262,1,0.306,0.248,0.358
284,1,0.261,0.22,0.302
20,1,0.223,0.168,0.532
360,1,0.204,0.157,0.257
91,1,0.172,0.147,0.199
340,1,0.172,0.026,0.644
307,1,0.163,0.131,0.205
358,1,0.139,0.095,0.181
131,1,0.138,0.025,0.404
223,1,0.106,0.093,0.131
76,1,0.097,0.074,0.128
86,1,0.085,0.067,0.116
232,1,0.075,0.061,0.093
337,1,0.069,0.057,0.082
279,1,0.056,0.043,0.075
9,1,0.044,0.038,0.056
245,1,0.018,0.015,0.023
317,1,0.016,0.011,0.021
