"variable","psrf","converged"
"dbas_7",1.0164,TRUE
"nervous",1.0144,TRUE
"outgoing",1.0116,TRUE
"dbas_16",1.0113,TRUE
"driving_freq",1.0112,TRUE
"surps6",1.0094,TRUE
"dbas_3",1.0091,TRUE
"dbas_10",1.009,TRUE
"relaxed_r",1.0089,TRUE
"surps13_r",1.0087,TRUE
"dbas1",1.0084,TRUE
"surps5",1.0084,TRUE
"lazy_r",1.0081,TRUE
"ciss20",1.0081,TRUE
"income",1.008,TRUE
"surps22",1.008,TRUE
"osss_3_score",1.0076,TRUE
"surps11",1.0075,TRUE
"surps10",1.0067,TRUE
"dbas_13",1.0063,TRUE
"surps9",1.0062,TRUE
"capability",1.0057,TRUE
"desires_1",1.0054,TRUE
"ciss19",1.005,TRUE
"surps17",1.0046,TRUE
"surps4_r",1.0045,TRUE
"side_effects_3",1.0044,TRUE
"surps18",1.0043,TRUE
"surps15",1.0042,TRUE
"ciss11",1.004,TRUE
"ciss7",1.0039,TRUE
"inf_hcp_1",1.0038,TRUE
"dbas_4",1.0038,TRUE
"dependence_2",1.0036,TRUE
"surps20_r",1.0035,TRUE
"surps19",1.0034,TRUE
"surps12",1.0033,TRUE
"dependence_3",1.0031,TRUE
"ciss3",1.0031,TRUE
"ciss13",1.003,TRUE
"motivation_1",1.0027,TRUE
"surps7_r",1.0027,TRUE
"adls_1",1.002,TRUE
"side_effects_4",1.0019,TRUE
"motivation_3",1.0019,TRUE
"few_interests_r",1.0019,TRUE
"stop_wdl_exp_combined",1.0018,TRUE
"side_effects_2",1.0017,TRUE
"ciss10",1.0016,TRUE
"ciss12",1.0016,TRUE
"surps1_r",1.0012,TRUE
"surps3",1.0012,TRUE
"desires_2",1.0011,TRUE
"ciss4",1.0011,TRUE
"benefit_1",1.001,TRUE
"bzra_daily_diazepam_eq",1.0009,TRUE
"surps23_r",1.0007,TRUE
"dbas_11",1.0006,TRUE
"surps2",1.0006,TRUE
"dbas_8",1.0004,TRUE
"surps21",1.0004,TRUE
"ciss1",1.0003,TRUE
"dbas_6",1.0002,TRUE
"find_fault_r",1.0001,TRUE
"freq_dich",1,TRUE
"age",1,TRUE
"sex",1,TRUE
"prov_terr",1,TRUE
"education",1,TRUE
"phq2_score",1,TRUE
"gen_health",1,TRUE
"med_quant",1,TRUE
"c_lengthofuse",1,TRUE
"fall2",1,TRUE
"n_physical_conditions",1,TRUE
"n_ment_conditions",1,TRUE
"n_sleep_conditions",1,TRUE
"alc_sleep",1,TRUE
"can_sleep",1,TRUE
"melatonin_use",1,TRUE
"op_sleep",1,TRUE
"alc_use",1,TRUE
"imagination",1,TRUE
"ciss15",0.9993,TRUE
"capability_1",0.9991,TRUE
"ciss17",0.999,TRUE
"benefit_5",0.9989,TRUE
"adls_2",0.9989,TRUE
"surps16",0.9989,TRUE
"ciss8",0.9989,TRUE
"dbas_2",0.9988,TRUE
"inf_hcp_3",0.9987,TRUE
"dbas_5",0.9985,TRUE
"ciss2",0.9984,TRUE
"ciss14",0.9983,TRUE
"ciss9",0.998,TRUE
"surps14",0.9974,TRUE
"ciss5",0.9972,TRUE
"benefit_4",0.9971,TRUE
"dbas_14",0.9971,TRUE
"dependence_1",0.997,TRUE
"motivation_2",0.9969,TRUE
"ciss6",0.9965,TRUE
"ciss16",0.9965,TRUE
"surps8",0.9963,TRUE
"ciss18",0.9962,TRUE
"reserved_r",0.996,TRUE
"side_effects_1",0.9954,TRUE
"dbas_12",0.9948,TRUE
"thorough",0.9944,TRUE
"dbas_15",0.9941,TRUE
"benefit_6",0.9938,TRUE
"ciss21",0.9937,TRUE
"trusting",0.9936,TRUE
"employment",0.9935,TRUE
"dbas_9",0.9932,TRUE
"wdl_symptom_count",0.9921,TRUE
