"variable","n_missing","obs_mean","obs_sd","imp_mean","imp_sd","mean_diff","sd_ratio","abs_smd","flag"
"osss_3_score",1,10.209,2.261,10.708,1.781,0.499,0.788,0.245,"✓"
"bzra_daily_diazepam_eq",10,0.793,1.345,0.637,1.052,-0.156,0.783,0.129,"✓"
"benefit_1",42,3.763,0.976,3.748,0.962,-0.015,0.986,0.016,"✓"
"benefit_4",44,4.024,0.802,3.94,0.887,-0.083,1.105,0.099,"✓"
"benefit_5",43,4.066,0.772,3.984,0.893,-0.082,1.157,0.099,"✓"
"benefit_6",44,3.354,1.096,3.283,1.124,-0.071,1.026,0.064,"✓"
"side_effects_1",43,2.449,1.173,2.451,1.173,0.002,1,0.002,"✓"
"side_effects_2",44,2.087,0.961,2.042,0.927,-0.046,0.964,0.048,"✓"
"side_effects_3",44,1.577,0.824,1.568,0.812,-0.009,0.984,0.01,"✓"
"side_effects_4",51,2.803,0.979,2.877,0.947,0.073,0.967,0.076,"✓"
"adls_1",51,1.916,0.951,2.016,0.961,0.099,1.011,0.104,"✓"
"adls_2",52,1.832,0.936,1.917,0.923,0.084,0.986,0.091,"✓"
"dependence_1",53,3.561,1.221,3.452,1.286,-0.109,1.053,0.087,"✓"
"dependence_2",55,3.392,1.175,3.365,1.191,-0.027,1.013,0.023,"✓"
"dependence_3",55,2.918,1.152,2.876,1.143,-0.042,0.992,0.037,"✓"
"motivation_1",55,3.253,1.234,3.174,1.283,-0.079,1.04,0.063,"✓"
"motivation_2",55,2.496,1.164,2.537,1.2,0.041,1.031,0.035,"✓"
"motivation_3",55,2.605,1.248,2.759,1.281,0.154,1.026,0.122,"✓"
"capability_1",56,3.134,1.192,3.177,1.206,0.043,1.012,0.036,"✓"
"capability",56,3.022,1.267,2.975,1.31,-0.046,1.034,0.036,"✓"
"desires_1",55,2.676,1.114,2.777,1.177,0.101,1.056,0.088,"✓"
"desires_2",56,2.418,0.908,2.397,0.893,-0.021,0.984,0.024,"✓"
"inf_hcp_1",56,2.995,0.93,2.982,0.897,-0.012,0.964,0.014,"✓"
"inf_hcp_3",56,2.708,0.713,2.677,0.727,-0.031,1.019,0.042,"✓"
"wdl_symptom_count",17,1.222,0.967,1.199,0.962,-0.024,0.995,0.025,"✓"
"dbas1",67,7.014,2.455,7.124,2.72,0.11,1.108,0.043,"✓"
"dbas_2",67,5.456,3.212,4.976,3.303,-0.481,1.028,0.148,"✓"
"dbas_3",67,7.685,2.498,7.371,2.85,-0.314,1.141,0.117,"✓"
"dbas_4",67,6.718,2.881,6.007,3.164,-0.711,1.098,0.235,"✓"
"dbas_5",67,6.992,2.516,6.876,2.798,-0.115,1.112,0.043,"✓"
"dbas_6",67,7.408,2.706,7.248,2.733,-0.161,1.01,0.059,"✓"
"dbas_7",67,6.346,2.821,6.3,2.934,-0.046,1.04,0.016,"✓"
"dbas_8",67,4.324,2.779,4.323,3.12,-0.001,1.123,0,"✓"
"dbas_9",67,4.769,2.717,4.835,2.91,0.066,1.071,0.023,"✓"
"dbas_10",67,7.211,2.444,7.066,2.8,-0.145,1.145,0.055,"✓"
"dbas_11",67,5.82,2.727,5.691,2.928,-0.129,1.074,0.046,"✓"
"dbas_12",67,6.758,2.586,6.571,2.753,-0.187,1.064,0.07,"✓"
"dbas_13",67,4.53,2.458,4.539,2.52,0.009,1.025,0.004,"✓"
"dbas_14",67,4.777,2.883,4.967,3.053,0.19,1.059,0.064,"✓"
"dbas_15",67,4.969,3.008,5.174,3.148,0.205,1.047,0.067,"✓"
"dbas_16",67,3.654,3.034,4.113,3.304,0.459,1.089,0.145,"✓"
"reserved_r",67,2.763,1.302,2.829,1.349,0.066,1.036,0.049,"✓"
"trusting",67,4.113,1.016,4.067,1.072,-0.046,1.055,0.044,"✓"
"lazy_r",67,4.054,1.167,3.966,1.221,-0.087,1.046,0.073,"✓"
"relaxed_r",67,2.93,1.218,3.009,1.292,0.08,1.06,0.064,"✓"
"few_interests_r",67,3.313,1.388,3.24,1.449,-0.073,1.044,0.051,"✓"
"outgoing",67,3.676,1.162,3.527,1.291,-0.149,1.111,0.122,"✓"
"find_fault_r",67,3.577,1.153,3.618,1.194,0.04,1.036,0.034,"✓"
"thorough",67,4.335,0.852,4.262,0.986,-0.073,1.157,0.08,"✓"
"nervous",67,2.851,1.254,2.889,1.291,0.039,1.029,0.03,"✓"
"imagination",67,3.848,1.003,3.873,1.03,0.025,1.027,0.024,"✓"
"surps1_r",68,2.048,0.644,2.066,0.718,0.018,1.117,0.026,"✓"
"surps2",68,2.226,0.718,2.268,0.747,0.042,1.041,0.058,"✓"
"surps3",68,1.523,0.875,1.595,0.923,0.072,1.055,0.08,"✓"
"surps4_r",68,2.02,0.683,2.082,0.76,0.062,1.111,0.086,"✓"
"surps5",68,2.119,0.712,2.157,0.77,0.038,1.082,0.052,"✓"
"surps6",68,2.763,0.738,2.703,0.796,-0.059,1.079,0.077,"✓"
"surps7_r",68,2.297,0.718,2.403,0.785,0.107,1.093,0.142,"✓"
"surps8",68,3.042,0.719,2.95,0.837,-0.093,1.164,0.119,"✓"
"surps9",69,2.085,0.734,2.103,0.765,0.018,1.042,0.024,"✓"
"surps10",69,2.618,0.714,2.617,0.769,-0.001,1.078,0.001,"✓"
"surps11",69,1.932,0.64,1.967,0.698,0.035,1.089,0.052,"✓"
"surps12",69,1.754,0.941,1.832,0.96,0.078,1.02,0.082,"✓"
"surps13_r",69,1.694,0.566,1.664,0.573,-0.03,1.012,0.053,"✓"
"surps14",69,2.371,0.758,2.354,0.832,-0.017,1.098,0.022,"✓"
"surps15",69,2.122,0.761,2.073,0.816,-0.049,1.073,0.062,"✓"
"surps16",69,1.55,0.669,1.524,0.634,-0.025,0.948,0.039,"✓"
"surps17",71,1.647,0.768,1.744,0.816,0.097,1.064,0.122,"✓"
"surps18",71,2.501,0.713,2.468,0.766,-0.033,1.074,0.045,"✓"
"surps19",71,2.248,0.943,2.312,1.005,0.064,1.065,0.066,"✓"
"surps20_r",71,2,0.535,2.083,0.627,0.083,1.174,0.143,"✓"
"surps21",71,2.49,0.688,2.485,0.736,-0.005,1.069,0.007,"✓"
"surps22",71,1.587,0.635,1.624,0.684,0.038,1.077,0.057,"✓"
"surps23_r",71,2.353,0.721,2.402,0.761,0.049,1.054,0.066,"✓"
"ciss1",71,3.023,1.124,2.987,1.154,-0.036,1.028,0.031,"✓"
"ciss2",71,3.994,0.868,3.965,0.888,-0.029,1.023,0.033,"✓"
"ciss3",71,2.772,1.108,2.846,1.185,0.074,1.07,0.064,"✓"
"ciss4",71,2.96,1.251,3.058,1.334,0.097,1.067,0.075,"✓"
"ciss5",71,2.843,1.162,2.892,1.218,0.049,1.048,0.041,"✓"
"ciss6",71,3.65,0.929,3.616,1.006,-0.033,1.083,0.034,"✓"
"ciss7",71,3.048,1.195,2.972,1.27,-0.076,1.063,0.062,"✓"
"ciss8",71,3.729,0.9,3.569,1.011,-0.16,1.124,0.167,"✓"
"ciss9",71,2.325,1.175,2.428,1.282,0.103,1.091,0.084,"✓"
"ciss10",71,2.558,1.196,2.619,1.271,0.061,1.063,0.049,"✓"
"ciss11",72,4.011,0.856,3.97,0.906,-0.041,1.058,0.046,"✓"
"ciss12",72,2.651,1.037,2.595,1.089,-0.057,1.049,0.053,"✓"
"ciss13",72,3.486,0.849,3.51,0.878,0.025,1.034,0.029,"✓"
"ciss14",72,2.509,1.132,2.622,1.196,0.114,1.056,0.097,"✓"
"ciss15",72,3.169,1.201,3.13,1.24,-0.039,1.033,0.032,"✓"
"ciss16",72,3.797,0.893,3.708,0.972,-0.089,1.088,0.095,"✓"
"ciss17",72,3.489,1.088,3.4,1.261,-0.088,1.159,0.075,"✓"
"ciss18",72,2.3,1.147,2.308,1.173,0.008,1.022,0.007,"✓"
"ciss19",72,3.349,0.939,3.324,0.981,-0.024,1.045,0.026,"✓"
"ciss20",72,2.534,1.056,2.609,1.148,0.075,1.088,0.068,"✓"
"ciss21",72,2.9,1.255,3.003,1.28,0.103,1.02,0.082,"✓"
