"variable","W","B","RIV","flag"
"bzra_daily_diazepam_eq",1.092,0.1252,0.1147,"✓"
"desires_1",1.3632,0.0477,0.035,"✓"
"benefit_1",0.9175,0.0302,0.0329,"✓"
"side_effects_1",1.3643,0.0427,0.0313,"✓"
"benefit_6",1.2533,0.0385,0.0307,"✓"
"wdl_symptom_count",0.9525,0.0285,0.03,"✓"
"inf_hcp_3",0.5227,0.0154,0.0295,"✓"
"motivation_3",1.6247,0.0457,0.0281,"✓"
"benefit_4",0.7829,0.021,0.0268,"✓"
"adls_1",0.9173,0.0239,0.026,"✓"
"side_effects_3",0.6568,0.017,0.0259,"✓"
"dbas_11",8.4864,0.2199,0.0259,"✓"
"surps6",0.6266,0.0159,0.0253,"✓"
"surps10",0.5867,0.0138,0.0236,"✓"
"motivation_2",1.4345,0.0325,0.0226,"✓"
"surps12",0.9139,0.0205,0.0224,"✓"
"surps2",0.5545,0.012,0.0216,"✓"
"ciss18",1.3648,0.0293,0.0215,"✓"
"dbas_4",9.9483,0.2134,0.0214,"✓"
"desires_2",0.7955,0.0167,0.021,"✓"
"dependence_1",1.6499,0.0344,0.0209,"✓"
"ciss5",1.4741,0.0304,0.0206,"✓"
"ciss1",1.3246,0.0271,0.0205,"✓"
"inf_hcp_1",0.8038,0.0159,0.0198,"✓"
"surps21",0.5382,0.0107,0.0198,"✓"
"capability",1.7131,0.0334,0.0195,"✓"
"dbas_2",10.8691,0.206,0.019,"✓"
"side_effects_4",0.8971,0.0169,0.0189,"✓"
"surps22",0.4652,0.0087,0.0186,"✓"
"ciss16",0.9417,0.0171,0.0182,"✓"
"dbas_14",9.2926,0.1686,0.0181,"✓"
"ciss15",1.5311,0.0277,0.0181,"✓"
"dependence_2",1.418,0.0255,0.018,"✓"
"dbas_10",7.8173,0.1405,0.018,"✓"
"benefit_5",0.8021,0.0143,0.0179,"✓"
"surps14",0.6906,0.0123,0.0179,"✓"
"ciss9",1.6368,0.029,0.0177,"✓"
"ciss20",1.3141,0.023,0.0175,"✓"
"ciss3",1.4003,0.0244,0.0174,"✓"
"dbas_3",8.1038,0.1393,0.0172,"✓"
"surps4_r",0.5755,0.0099,0.0172,"✓"
"ciss10",1.6102,0.0273,0.017,"✓"
"surps13_r",0.3278,0.0055,0.0168,"✓"
"ciss4",1.7748,0.0298,0.0168,"✓"
"ciss6",1.0091,0.0169,0.0168,"✓"
"surps15",0.6645,0.0111,0.0167,"✓"
"surps23_r",0.5774,0.0095,0.0165,"✓"
"ciss2",0.7869,0.0129,0.0164,"✓"
"side_effects_2",0.8644,0.014,0.0161,"✓"
"few_interests_r",2.0982,0.0336,0.016,"✓"
"trusting",1.1481,0.0183,0.0159,"✓"
"surps1_r",0.5156,0.0082,0.0159,"✓"
"dbas1",7.3953,0.1161,0.0157,"✓"
"imagination",1.0605,0.0163,0.0154,"✓"
"surps18",0.5854,0.009,0.0154,"✓"
"thorough",0.9722,0.0148,0.0152,"✓"
"surps19",1.0089,0.0152,0.0151,"✓"
"ciss11",0.8201,0.0121,0.0148,"✓"
"dbas_8",9.7409,0.1414,0.0145,"✓"
"lazy_r",1.4917,0.0216,0.0145,"✓"
"ciss14",1.4295,0.0208,0.0145,"✓"
"surps3",0.852,0.0123,0.0144,"✓"
"ciss21",1.638,0.0235,0.0143,"✓"
"dbas_12",7.5824,0.1074,0.0142,"✓"
"dbas_5",7.8399,0.1064,0.0136,"✓"
"ciss8",1.0232,0.014,0.0136,"✓"
"dbas_13",6.3605,0.0847,0.0133,"✓"
"relaxed_r",1.6716,0.0215,0.0128,"✓"
"dbas_6",7.4865,0.094,0.0126,"✓"
"reserved_r",1.825,0.0228,0.0125,"✓"
"ciss13",0.7711,0.0096,0.0124,"✓"
"surps9",0.5858,0.0071,0.0121,"✓"
"ciss17",1.5934,0.0192,0.0121,"✓"
"surps16",0.4029,0.0047,0.0116,"✓"
"ciss12",1.1875,0.0138,0.0116,"✓"
"ciss19",0.9636,0.0112,0.0116,"✓"
"surps8",0.7024,0.008,0.0113,"✓"
"adls_2",0.8594,0.0096,0.0111,"✓"
"dbas_15",9.9494,0.11,0.0111,"✓"
"surps5",0.5955,0.0065,0.011,"✓"
"dbas_16",10.9581,0.1175,0.0107,"✓"
"find_fault_r",1.432,0.0152,0.0106,"✓"
"motivation_1",1.6588,0.0174,0.0105,"✓"
"surps11",0.4885,0.005,0.0101,"✓"
"surps17",0.6691,0.0067,0.01,"✓"
"nervous",1.6741,0.0159,0.0095,"✓"
"dbas_9",8.5147,0.0784,0.0092,"✓"
"dependence_3",1.3194,0.0109,0.0082,"✓"
"surps7_r",0.6199,0.005,0.0081,"✓"
"ciss7",1.6243,0.0115,0.0071,"✓"
"dbas_7",8.6735,0.0605,0.007,"✓"
"surps20_r",0.3963,0.0027,0.0067,"✓"
"capability_1",1.471,0.0095,0.0064,"✓"
"outgoing",1.6809,0.0093,0.0055,"✓"
