"variable","n_missing","pct_missing","category"
"ciss11",72,17.0616113744076,"Moderate (10-25%)"
"ciss12",72,17.0616113744076,"Moderate (10-25%)"
"ciss13",72,17.0616113744076,"Moderate (10-25%)"
"ciss14",72,17.0616113744076,"Moderate (10-25%)"
"ciss15",72,17.0616113744076,"Moderate (10-25%)"
"ciss16",72,17.0616113744076,"Moderate (10-25%)"
"ciss17",72,17.0616113744076,"Moderate (10-25%)"
"ciss18",72,17.0616113744076,"Moderate (10-25%)"
"ciss19",72,17.0616113744076,"Moderate (10-25%)"
"ciss20",72,17.0616113744076,"Moderate (10-25%)"
"ciss21",72,17.0616113744076,"Moderate (10-25%)"
"surps17",71,16.824644549763,"Moderate (10-25%)"
"surps18",71,16.824644549763,"Moderate (10-25%)"
"surps19",71,16.824644549763,"Moderate (10-25%)"
"surps20_r",71,16.824644549763,"Moderate (10-25%)"
"surps21",71,16.824644549763,"Moderate (10-25%)"
"surps22",71,16.824644549763,"Moderate (10-25%)"
"surps23_r",71,16.824644549763,"Moderate (10-25%)"
"ciss1",71,16.824644549763,"Moderate (10-25%)"
"ciss2",71,16.824644549763,"Moderate (10-25%)"
"ciss3",71,16.824644549763,"Moderate (10-25%)"
"ciss4",71,16.824644549763,"Moderate (10-25%)"
"ciss5",71,16.824644549763,"Moderate (10-25%)"
"ciss6",71,16.824644549763,"Moderate (10-25%)"
"ciss7",71,16.824644549763,"Moderate (10-25%)"
"ciss8",71,16.824644549763,"Moderate (10-25%)"
"ciss9",71,16.824644549763,"Moderate (10-25%)"
"ciss10",71,16.824644549763,"Moderate (10-25%)"
"surps9",69,16.3507109004739,"Moderate (10-25%)"
"surps10",69,16.3507109004739,"Moderate (10-25%)"
"surps11",69,16.3507109004739,"Moderate (10-25%)"
"surps12",69,16.3507109004739,"Moderate (10-25%)"
"surps13_r",69,16.3507109004739,"Moderate (10-25%)"
"surps14",69,16.3507109004739,"Moderate (10-25%)"
"surps15",69,16.3507109004739,"Moderate (10-25%)"
"surps16",69,16.3507109004739,"Moderate (10-25%)"
"surps1_r",68,16.1137440758294,"Moderate (10-25%)"
"surps2",68,16.1137440758294,"Moderate (10-25%)"
"surps3",68,16.1137440758294,"Moderate (10-25%)"
"surps4_r",68,16.1137440758294,"Moderate (10-25%)"
"surps5",68,16.1137440758294,"Moderate (10-25%)"
"surps6",68,16.1137440758294,"Moderate (10-25%)"
"surps7_r",68,16.1137440758294,"Moderate (10-25%)"
"surps8",68,16.1137440758294,"Moderate (10-25%)"
"dbas1",67,15.8767772511848,"Moderate (10-25%)"
"dbas_2",67,15.8767772511848,"Moderate (10-25%)"
"dbas_3",67,15.8767772511848,"Moderate (10-25%)"
"dbas_4",67,15.8767772511848,"Moderate (10-25%)"
"dbas_5",67,15.8767772511848,"Moderate (10-25%)"
"dbas_6",67,15.8767772511848,"Moderate (10-25%)"
"dbas_7",67,15.8767772511848,"Moderate (10-25%)"
"dbas_8",67,15.8767772511848,"Moderate (10-25%)"
"dbas_9",67,15.8767772511848,"Moderate (10-25%)"
"dbas_10",67,15.8767772511848,"Moderate (10-25%)"
"dbas_11",67,15.8767772511848,"Moderate (10-25%)"
