model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model A — Psychological Individual Differences (raw),(Intercept),2.2862252167794366,1.258189367780738,9.837732197606087,0.8262411324759131,117.13405565007612,"9.84 [0.83, 117.13]",1.8170756130390795,0.0703125266557458,.
Model A — Psychological Individual Differences (raw),DBAS_Medications,-0.4608283211450011,0.07950073796847325,0.6307609564219553,0.5392884548898708,0.7377487512273696,"0.63 [0.54, 0.74]",-5.796528848923979,2.3171105316712097e-8,***
Model A — Psychological Individual Differences (raw),SURPS_Hopelessness,-0.5140621761002329,0.32481553680240244,0.5980612077931236,0.3156634806690486,1.1330965733155862,"0.60 [0.32, 1.13]",-1.5826280391659846,0.11448295564603525,
Model A — Psychological Individual Differences (raw),CISS_Emotion,-0.1779951967981409,0.19828374374109292,0.836946443501827,0.5665302338585572,1.2364377175768557,"0.84 [0.57, 1.24]",-0.8976792219061408,0.37008847427677427,
Model A — Psychological Individual Differences (raw),DBAS_Consequences,0.0729955664409308,0.07742629619726188,1.075725767610398,0.9236156710396523,1.2528868482692737,"1.08 [0.92, 1.25]",0.9427748714074772,0.34666187881915844,
Model A — Psychological Individual Differences (raw),BFI_Conscientiousness,-0.16985091612655018,0.16488395571599151,0.8437906027912488,0.6098471752675115,1.167477050371686,"0.84 [0.61, 1.17]",-1.0301239765202754,0.3039204778495946,
Model A — Psychological Individual Differences (raw),BFI_Neuroticism,0.03899185658893908,0.15058433872314828,1.0397620164061767,0.772981733380487,1.3986165572542486,"1.04 [0.77, 1.40]",0.2589369978283481,0.7958845360247035,
Model A — Psychological Individual Differences (raw),SURPS_Sensation_Seeking,0.4171618860502707,0.2697088254471041,1.5176481791190022,0.8924985301385359,2.5806832367843855,"1.52 [0.89, 2.58]",1.546712034204774,0.12305134377461753,
Model B — Full (raw),(Intercept),-4.042628347650736,1.2245937566228353,0.01755128087065199,0.0015739667443445682,0.1957140843714532,"0.02 [0.00, 0.20]",-3.3011995413070134,0.0010993609677160876,**
Model B — Full (raw),capabilityC,0.9657907903386714,0.18805045243099833,2.6268641341153973,1.81343048077476,3.805172159758637,"2.63 [1.81, 3.81]",5.135806789367075,6.091099336373621e-7,***
Model B — Full (raw),DBAS_Medications,-0.2925759588374014,0.07768970736278175,0.7463385518740274,0.6405025272974325,0.8696628198545021,"0.75 [0.64, 0.87]",-3.7659552181240894,2.0199820407514155e-4,***
Model B — Full (raw),side_effectsC,0.3683709879838614,0.2613521855242422,1.4453781574495235,0.8642052487877604,2.4173864032446355,"1.45 [0.86, 2.42]",1.4094811843449937,0.15972881048618906,
Model B — Full (raw),c_lengthofuse,-0.020374028051910627,0.015833191897591845,0.9798321200613644,0.9498001085861664,1.0108137226190366,"0.98 [0.95, 1.01]",-1.2867922137045167,0.1989347857774477,
Model B — Full (raw),bzra_daily_diazepam_eq,0.16516037726963279,0.09226491266146092,1.1795822817279118,0.9838876845231563,1.4142004023973318,"1.18 [0.98, 1.41]",1.790067020121077,0.07422571833166942,.
Model B — Full (raw),dependenceC,0.1851283134258286,0.20420931177597046,1.2033728391132879,0.8045898445609783,1.7998066961754025,"1.20 [0.80, 1.80]",0.9065615657572226,0.36567241531810046,
Model B — Full (raw),n_sleep_conditions,-0.1796823573431121,0.20082464163391905,0.8355355710029757,0.5629896532416362,1.2400222391149955,"0.84 [0.56, 1.24]",-0.8947226589387025,0.3714770205683716,
Model B — Full (raw),wdl_symptom_count,-0.31927590879615064,0.31699023336940446,0.7266750256129753,0.38945589151398213,1.3558829237294006,"0.73 [0.39, 1.36]",-1.0072105547305068,0.3146204758380338,
Model B — Full (raw),stop_wdl_exp_combinedInsomnia only,0.08094545218429118,0.4498548232929403,1.0843117481161584,0.4476457539718759,2.6264785417278564,"1.08 [0.45, 2.63]",0.17993683293594573,0.8573042489067005,
Model B — Full (raw),stop_wdl_exp_combinedOther withdrawal symptoms,0.17586477078600998,0.7559347058730472,1.1922768170917968,0.2694322843436716,5.275997314268897,"1.19 [0.27, 5.28]",0.2326454512799482,0.8161873850915891,
Model B — Full (raw),adlsC,0.3162974972475305,0.2223155539417122,1.3720383725555425,0.8854348876746699,2.126061805299605,"1.37 [0.89, 2.13]",1.4227411966436632,0.15613010546268122,
