model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model A — Psychological Individual Differences (standardized),(Intercept),-1.1627814630776931,0.12841726582891344,0.31261544217027776,0.24286678618127472,0.40239514105635754,"0.31 [0.24, 0.40]",-9.054712818966514,6.192473150414229e-18,***
Model A — Psychological Individual Differences (standardized),DBAS_Medications,-0.9009273092680357,0.1559560573289786,0.40619281867812834,0.2986983347721024,0.5523720313726125,"0.41 [0.30, 0.55]",-5.77680229096579,2.638569155152161e-8,***
Model A — Psychological Individual Differences (standardized),SURPS_Hopelessness,-0.24824753734601446,0.15672550080911368,0.780166798954942,0.5731729361291885,1.0619137712643396,"0.78 [0.57, 1.06]",-1.58396391183571,0.11417089037854947,
Model A — Psychological Individual Differences (standardized),CISS_Emotion,-0.14125875989762393,0.15737550437376144,0.8682646105653603,0.6370010809404189,1.183488468884922,"0.87 [0.64, 1.18]",-0.8975905142272917,0.3701382484409662,
Model A — Psychological Individual Differences (standardized),DBAS_Consequences,0.14241697433801892,0.15109855539966655,1.1530573436338398,0.8563281055268762,1.5526072648169074,"1.15 [0.86, 1.55]",0.9425435866101816,0.34678053795277897,
Model A — Psychological Individual Differences (standardized),BFI_Conscientiousness,-0.13856600293378052,0.13451551313963497,0.870605786836629,0.6680100194492992,1.1346453107069803,"0.87 [0.67, 1.13]",-1.0301116926933245,0.3039207241150073,
Model A — Psychological Individual Differences (standardized),BFI_Neuroticism,0.04093594318233823,0.15660360925673367,1.0417853699525819,0.7653587675051331,1.4180496822229958,"1.04 [0.77, 1.42]",0.26139846569709924,0.7939884067414504,
Model A — Psychological Individual Differences (standardized),SURPS_Sensation_Seeking,0.20336310998109805,0.13143882750334937,1.2255173850602676,0.9461466382708736,1.5873785313339315,"1.23 [0.95, 1.59]",1.5472072738621765,0.12292979265668551,
Model B — Full (standardized),(Intercept),-1.4687364653085808,0.45847845484736666,0.23021618763133445,0.09343657784805397,0.5672242527299455,"0.23 [0.09, 0.57]",-3.2035016035759893,0.0014830131929726834,**
Model B — Full (standardized),capabilityC,1.0365492466732966,0.20155552720688583,2.8194709096999824,1.8953165134878502,4.194242045628335,"2.82 [1.90, 4.19]",5.142747812662736,5.853635992464765e-7,***
Model B — Full (standardized),DBAS_Medications,-0.5720276048584536,0.15225321962977062,0.5643799382760095,0.41821913718078846,0.7616215672855254,"0.56 [0.42, 0.76]",-3.7570805152720923,2.0965013858990718e-4,***
Model B — Full (standardized),side_effectsC,0.2668196219493033,0.1892948378733755,1.3058048865463603,0.8997023720319677,1.8952116330174211,"1.31 [0.90, 1.90]",1.4095451568932178,0.15970776430112682,
Model B — Full (standardized),c_lengthofuse,-0.1990320791516354,0.15467305213065174,0.8195236032893081,0.6046319388354668,1.1107897105830078,"0.82 [0.60, 1.11]",-1.2867922137045162,0.19893478577744778,
Model B — Full (standardized),bzra_daily_diazepam_eq,0.22120387256441523,0.12381929332291874,1.2475777515141604,0.97799565985555,1.5914694818819708,"1.25 [0.98, 1.59]",1.7865056941289357,0.07481160273919493,.
Model B — Full (standardized),dependenceC,0.17393014427747472,0.19174049513768837,1.189972436532529,0.815425591086879,1.7365586942393294,"1.19 [0.82, 1.74]",0.9071122099302806,0.3653835928072555,
Model B — Full (standardized),n_sleep_conditions,-0.12288777335716872,0.13734733565699017,0.8843629060718267,0.6750921441867342,1.1585051853595172,"0.88 [0.68, 1.16]",-0.8947226589387025,0.3714770205683716,
Model B — Full (standardized),wdl_symptom_count,-0.30885272419098014,0.30657019525134516,0.7342889050557774,0.40168536171075037,1.3422948593189479,"0.73 [0.40, 1.34]",-1.0074453713211216,0.31451043781553073,
Model B — Full (standardized),stop_wdl_exp_combinedInsomnia only,0.08094545218429208,0.44985482329294,1.0843117481161595,0.44764575397187656,2.6264785417278573,"1.08 [0.45, 2.63]",0.17993683293594784,0.857304248906699,
Model B — Full (standardized),stop_wdl_exp_combinedOther withdrawal symptoms,0.1758647707860118,0.7559347058730465,1.1922768170917988,0.2694322843436726,5.275997314268897,"1.19 [0.27, 5.28]",0.23264545127995082,0.8161873850915871,
Model B — Full (standardized),adlsC,0.27566851646071044,0.19428308349381412,1.3174110915485333,0.8983941714617071,1.9318602449426896,"1.32 [0.90, 1.93]",1.4189012831345535,0.1572900097255827,
