"subscale","n_items","n_reversed","method","alpha","alpha_ci_lower","alpha_ci_upper","mean_inter_r","mean","sd","status"
"BFI_Extraversion",2,1,"spearman_brown",0.582,0.494,0.655,0.411,3.19,1.04,"POOR"
"BFI_Agreeableness",2,1,"spearman_brown",0.278,0.125,0.404,0.161,3.83,0.84,"POOR"
"BFI_Conscientiousness",2,1,"spearman_brown",0.389,0.26,0.496,0.242,4.21,0.79,"POOR"
"BFI_Neuroticism",2,1,"spearman_brown",0.567,0.475,0.642,0.395,2.88,1.04,"POOR"
"BFI_Openness",2,1,"spearman_brown",0.171,-0.003,0.316,0.094,3.57,0.91,"POOR"
"SURPS_Hopelessness",7,6,"cronbach_alpha",0.842,0.818,0.864,0.431,2.02,0.49,"GOOD"
"SURPS_Impulsivity",5,0,"cronbach_alpha",0.695,0.646,0.739,0.313,2,0.48,"ACCEPTABLE"
"SURPS_Sensation_Seeking",6,0,"cronbach_alpha",0.614,0.554,0.669,0.214,1.99,0.48,"ACCEPTABLE"
"SURPS_Anxiety_Sensitivity",5,0,"cronbach_alpha",0.701,0.654,0.744,0.32,2.61,0.49,"GOOD"
"DBAS_Consequences",7,0,"cronbach_alpha",0.836,0.811,0.859,0.425,6.1,1.99,"GOOD"
"DBAS_Worry_Helplessness",4,0,"cronbach_alpha",0.662,0.606,0.712,0.327,5.53,1.95,"ACCEPTABLE"
"DBAS_Expectations",2,0,"spearman_brown",0.372,0.24,0.482,0.229,6.26,2.24,"POOR"
"DBAS_Medications",3,0,"cronbach_alpha",0.539,0.457,0.61,0.272,5.65,1.97,"POOR"
"DBAS_Total",16,0,"cronbach_alpha",0.861,0.841,0.88,0.279,5.89,1.59,"GOOD"
"CISS_Task",7,0,"cronbach_alpha",0.833,0.808,0.856,0.418,3.7,0.64,"GOOD"
"CISS_Emotion",7,0,"cronbach_alpha",0.83,0.804,0.854,0.413,2.77,0.8,"GOOD"
"CISS_Avoidance",7,0,"cronbach_alpha",0.718,0.675,0.757,0.264,2.83,0.73,"GOOD"
"benefitsC",4,0,"cronbach_alpha",0.766,0.727,0.8,0.47,3.8,0.71,"GOOD"
"side_effectsC",4,0,"cronbach_alpha",0.713,0.665,0.755,0.389,2.23,0.73,"GOOD"
"adlsC",2,0,"spearman_brown",0.821,0.784,0.852,0.697,1.89,0.87,"GOOD"
"dependenceC",3,0,"cronbach_alpha",0.693,0.638,0.74,0.43,3.29,0.94,"ACCEPTABLE"
"motivationC",3,0,"cronbach_alpha",0.685,0.629,0.734,0.425,2.8,0.97,"ACCEPTABLE"
"capabilityC",2,1,"spearman_brown",0.683,0.616,0.738,0.518,3.05,1.07,"ACCEPTABLE"
"pharmacistC",2,1,"spearman_brown",0.22,0.055,0.356,0.123,2.87,0.61,"POOR"
"prescriberC",2,1,"spearman_brown",0.421,0.299,0.522,0.267,2.84,0.81,"POOR"
